dia,colonia_A,colonia_B,colonia_C,nascimentos,mortes,folhas,frutos
752,41,0,0,260,342,1.0,1.1999999999999873
753,41,0,0,260,342,1.0,0.4999999999999873
754,41,0,0,260,342,1.0,0.7999999999999873
755,41,0,0,260,342,1.0,1.0999999999999872
756,41,0,0,260,342,1.0,0.3999999999999872
757,40,0,0,260,343,1.0,0.6999999999999872
758,40,0,0,260,343,1.0,0.9999999999999871
759,40,0,0,260,343,1.0,1.2999999999999872
760,40,0,0,260,343,1.0,0.5999999999999872
761,40,0,0,260,343,1.0,0.8999999999999873
762,40,0,0,260,343,1.0,1.1999999999999873
763,40,0,0,260,343,1.0,0.4999999999999873
764,40,0,0,260,343,1.0,0.7999999999999873
765,40,0,0,260,343,1.0,1.0999999999999872
766,40,0,0,260,343,1.0,0.3999999999999872
767,40,0,0,260,343,1.0,0.6999999999999872
768,40,0,0,260,343,1.0,0.9999999999999871
769,40,0,0,260,343,1.0,1.2999999999999872
770,40,0,0,260,343,1.0,0.5999999999999872
771,40,0,0,260,343,1.0,0.8999999999999873
772,40,0,0,260,343,1.0,1.1999999999999873
773,40,0,0,260,343,1.0,0.4999999999999873
774,40,0,0,260,343,1.0,0.7999999999999873
775,40,0,0,260,343,1.0,1.0999999999999872
776,40,0,0,260,343,1.0,0.3999999999999872
777,40,0,0,260,343,1.0,0.6999999999999872
778,40,0,0,260,343,1.0,0.9999999999999871
779,40,0,0,260,343,1.0,1.2999999999999872
780,40,0,0,260,343,1.0,0.5999999999999872
781,40,0,0,260,343,1.0,0.8999999999999873
782,41,0,0,261,343,1.0,1.1999999999999873
783,41,0,0,261,343,1.0,0.4999999999999873
784,41,0,0,261,343,1.0,0.7999999999999873
785,41,0,0,261,343,1.0,1.0999999999999872
786,42,0,0,262,343,1.0,0.3999999999999872
787,42,0,0,262,343,1.0,0.6999999999999872
788,42,0,0,262,343,1.0,0.9999999999999871
789,42,0,0,262,343,1.0,1.2999999999999872
790,42,0,0,262,343,1.0,0.5999999999999872
791,42,0,0,262,343,1.0,0.8999999999999873
792,42,0,0,262,343,1.0,1.1999999999999873
793,42,0,0,262,343,1.0,0.4999999999999873
794,42,0,0,262,343,1.0,0.7999999999999873
795,42,0,0,262,343,1.0,1.0999999999999872
796,42,0,0,262,343,1.0,0.3999999999999872
797,42,0,0,262,343,1.0,0.6999999999999872
798,42,0,0,262,343,1.0,0.9999999999999871
799,42,0,0,262,343,1.0,1.2999999999999872
800,42,0,0,262,343,1.0,0.5999999999999872
801,42,0,0,262,343,1.0,0.8999999999999873
802,42,0,0,262,343,1.0,1.1999999999999873
803,42,0,0,262,343,1.0,0.4999999999999873
804,42,0,0,262,343,1.0,0.7999999999999873
805,42,0,0,262,343,1.0,1.0999999999999872
806,43,0,0,263,343,1.0,0.3999999999999872
807,43,0,0,263,343,1.0,0.6999999999999872
808,43,0,0,263,343,1.0,0.9999999999999871
809,43,0,0,263,343,1.0,1.2999999999999872
810,43,0,0,263,343,1.0,0.5999999999999872
811,43,0,0,263,343,1.0,0.8999999999999873
812,44,0,0,264,343,1.0,1.1999999999999873
813,44,0,0,264,343,1.0,0.4999999999999873
814,44,0,0,264,343,1.0,0.7999999999999873
815,44,0,0,264,343,1.0,1.0999999999999872
816,44,0,0,264,343,1.0,0.3999999999999872
